ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
1,6.5,111,2,3,2,20000000,2250000,5205343
1,6.9,119,3,3,3,20000000,2251075,3744790
1,3.6,85,2,3,2,10000000,2307063,4356743
0,6.6,112,3,2,3,45000000,2385644,104636188
1,5.2,114,2,2,2,34000000,2411445,6543194
0,8,135,3,4,4,60000000,2501096,170708996
1,6.1,89,2,3,2,18000000,2513530,5658940
0,6.7,110,2,2,1,4000000,2532410,11805917
1,6.2,118,3,2,3,48000000,2562448,47095453
1,4.9,86,2,2,1,11000000,2785283,4814244
1,4,96,2,2,2,16000000,2823548,7307756
1,4.7,95,2,3,1,25000000,2861903,5516708
1,3.8,127,2,2,2,60000000,2984524,4535117
0,6.8,86,2,2,2,750000,3005175,5518918
1,5.5,105,3,2,2,50000000,3008746,6291602
0,5.1,90,1,1,2,5000000,3020159,8704851
1,4.4,104,3,3,3,90000000,3029858,10364769
0,6.8,96,2,2,2,4000000,3046924,10515579
0,2.4,99,2,2,2,3000000,3109924,7059537
1,4.8,88,2,2,2,50000000,3336374,6471394
1,6.8,132,3,2,1,70000000,3376009,10166502
1,6.7,109,2,2,2,12000000,3445559,8195551
0,5.6,89,2,2,2,7000000,3460666,16829545
0,6.8,96,3,2,3,25000,3509048,3509048
0,3.3,82,2,2,1,6000000,3684704,9821335
1,6.2,92,3,2,3,16000000,3740799,8819059
0,7.3,96,3,3,3,15500000,3755575,23213577
1,5.7,111,3,3,3,40000000,3904047,14241034
1,5.2,103,2,2,2,15000000,4022693,10411980
1,6.5,102,3,2,3,20000000,4050655,11169531
0,5.6,87,2,2,2,10000000,4134977,11560259
0,7.3,100,2,2,2,11000000,4208655,13103828
1,6.9,102,4,3,3,22000000,4248465,19039770
1,6.1,103,2,3,2,35000000,4271451,7948159
0,1.8,95,2,3,2,5600000,4402123,7009668
1,4.9,102,2,2,2,38000000,4438899,7659747
1,6.4,104,2,2,3,13000000,4454319,10996440
1,3.6,83,2,2,2,35000000,4510408,11631245
0,5.9,89,1,3,1,11000000,4531665,16515735
1,6.5,112,2,2,3,25000000,4555117,10911750
1,5.1,98,1,1,2,22000000,4562455,14252830
0,6.9,105,3,3,3,10000000,4566293,20342852
1,6.7,115,3,2,2,20000000,4627989,11596143
0,6.7,97,2,2,2,10000000,4712341,11043445
1,3.8,96,2,2,2,50000000,4721110,8742261
0,3.2,85,2,2,2,45000000,4756488,57497699
1,4.9,86,3,2,1,14000000,4804595,10397365
1,5.3,101,2,2,3,35000000,4915104,12201122
1,5.2,102,3,2,2,18000000,4919433,14793904
1,6,105,3,2,2,30000000,4926565,10955425
0,7.5,102,2,2,3,8000000,4961015,34266564
1,7,102,3,3,3,20000000,5012315,13214030
1,5,101,2,2,2,16000000,5059802,11915856
0,3.7,82,2,2,2,5000000,5423315,13350177
0,4.8,84,2,2,1,11000000,5426390,13592872
0,7.2,88,2,2,3,9000000,5480378,18225165
